ID,Item_name,Count
0,Veg Fried Rice,213
1,Jeera Rice,194
2,Chicken Fried Rice,190
3,Egg Fried Rice,180
4,Paneer Butter Masala,179
5,Paneer Manchurian,173
6,Gobi Manchurian,166
7,Ghee Rice,158
8,Mushroom Manchurian,158
9,Dal Fry,147
10,Dal Tadka,142
11,Veg Biryani,142
12,Butter Naan,139
13,Egg Biryani,136
14,Palak Paneer,135
15,Veg Noodles,135
16,Chicken Manchurian,133
17,Mushroom Masala,132
18,Curd Rice,125
19,Baby Corn Manchurian,125
20,Egg Masala,121
21,Egg Noodles,118
22,Egg Bhurji,118
23,Chicken Noodles,116
24,Mineral Water,114
25,Chicken 65,113
26,Aloo Paratha,110
27,Chicken Biryani,107
28,Paneer Tikka,106
29,Chicken Masala,105
30,Paneer 65,104
31,Paneer Fried Rice,101
32,Butter Kulcha,99
33,Mushroom Fried Rice,98
34,Butter Roti,97
35,Chicken Kabab,97
36,Dal Makhani,93
37,Butter Chicken,93
38,Veg Manchow Soup,92
39,Green Salad,92
40,Veg Kolhapuri,91
41,Paneer Tikka Masala,90
42,Garlic Naan,89
43,Chicken Lollipop,89
44,Lemon Chicken,89
45,Sweet Lassi,86
46,Chicken Schezwan Fried Rice,84
47,Plain Rice,84
48,Chicken Tikka,83
49,Chicken Manchow Soup,83
50,Veg Schezwan Fried Rice,82
51,Mutton Biryani,81
52,Tandoori Chicken,80
53,Veg Schezwan Noodles,80
54,Chicken Kolhapuri,78
55,Gobi 65,77
56,French Fries,76
57,Chicken Schezwan Noodles,76
58,Tandoori Roti,75
59,Kulcha,74
60,Naan,73
61,Veg Hot and Sour Soup,72
62,Chicken Tikka Masala,72
63,Malai Kofta,72
64,Veg Pulao,72
65,Paneer Paratha,72
66,Egg Curry,72
67,Chicken Do Pyaza,71
68,Paneer Chilli,71
69,Chicken Hot and Sour Soup,70
70,Ginger Chicken,70
71,Garlic Chicken,70
72,Mutton Masala,70
73,Green Peas Masala,69
74,Chicken Hyderabadi,67
75,Aloo Gobi,67
76,Boiled Egg,66
77,Tomato Soup,66
78,Mushroom Chilli,66
79,Coke,65
80,Steamed Rice,65
81,Gulab Jamun,64
82,Veg Sweet Corn Soup,64
83,Kadai Paneer,64
84,Plain Naan,64
85,Biryani Rice,63
86,Paneer Bhurji,63
87,Chicken Clear Soup,63
88,Chicken Curry,62
89,Mushroom 65,62
90,Masala Papad,62
91,Veg Clear Soup,62
92,Roti,61
93,Egg Omelette,61
94,Pepper Chicken,60
95,Paneer Chilly,59
96,Chilli Chicken,59
97,Boondi Raita,59
98,Dal Palak,58
99,Kadai Chicken,58
100,Mushroom Pepper Dry,58
101,Sprite,58
102,Mutton Rogan Josh,57
103,Egg Manchurian,56
104,Veg Manchurian,56
105,Shahi Paneer,56
106,Plain Paratha,56
107,Gobi Paratha,55
108,Mushroom Chilly,55
109,Chana Masala,55
110,Gobi Chilli,55
111,Kaju Masala,55
112,Pineapple Juice,54
113,Chicken Sweet Corn Soup,54
114,Butter Milk,53
115,Paneer Biryani,53
116,Egg Chilly,51
117,Egg Roll,51
118,Prawns Biryani,51
119,Mutton Fry,51
120,Chilly Chicken,50
121,Mutton Curry,50
122,Chicken Fry,49
123,Mushroom Noodles,49
124,Aloo Palak,49
125,Kadhai Paneer,49
126,Onion Paratha,48
127,Egg Schezwan Noodles,48
128,Mango Lassi,48
129,Paneer Roll,48
130,Baby Corn Chilly,48
131,Aloo Gobi Masala,48
132,Baby Corn Chilli,48
133,Veg Hyderabadi,48
134,Aloo Jeera,47
135,Veg Hakka Noodles,47
136,Schezwan Chicken,47
137,Mixed Fried Rice,47
138,Fish Biryani,46
139,Lachha Paratha,45
140,Plain Kulcha,45
141,Kalmi Kabab,45
142,Lassi,45
143,Fresh Lime Soda,45
144,Egg Chilli,44
145,Phulka,44
146,Bhindi Masala,44
147,Watermelon Juice,44
148,Matar Paneer,44
149,Vanilla Ice Cream,43
150,Thums Up,43
151,Chicken Hakka Noodles,43
152,Veg Kadai,43
153,Chicken Pepper Dry,43
154,Gobi Chilly,43
155,Egg Schezwan Fried Rice,43
156,Methi Paratha,43
157,Mushroom Biryani,42
158,Chicken Roll,42
159,Veg Roll,41
160,Fish Manchurian,40
161,Aloo Matar,40
162,Cold Coffee,40
163,Peas Pulao,40
164,Mix Veg Curry,40
165,Orange Juice,39
166,Pudina Paratha,39
167,Chicken Kebab,39
168,Dragon Chicken,39
169,Plain Palak,38
170,Kadhai Chicken,38
171,Chapati,37
172,Strawberry Milkshake,37
173,Mixed Veg Curry,37
174,Mutton Pepper Dry,37
175,Plain Curd,37
176,Chicken Mughlai,37
177,Paneer Noodles,37
178,Chocolate Ice Cream,37
179,Strawberry Ice Cream,36
180,Veg American Chopsuey,36
181,Schezwan Chicken Fried Rice,36
182,Chicken Dum Biryani,36
183,Paratha,35
184,Baby Corn Pepper Dry,35
185,Chocolate Milkshake,35
186,Veg Chinese Chopsuey,35
187,Baby Corn 65,35
188,Prawns Masala,35
189,Stuffed Kulcha,35
190,Mushroom Tikka,35
191,Paneer Pepper Dry,34
192,Fish Curry,34
193,Pepsi,34
194,Mosambi Juice,34
195,Butter Paratha,33
196,Veg Spring Roll,33
197,Rajma Masala,33
198,Chicken American Chopsuey,33
199,Chicken Chilli,33
200,Chicken Lollypop,33
201,Salted Lassi,33
202,Masala Kulcha,32
203,Baby Corn Masala,32
204,Paneer Do Pyaza,32
205,Omelette,32
206,Cucumber Raita,32
207,Onion Pakoda,32
208,Fish Fry,31
209,Mixed Raita,31
210,Schezwan Noodles,31
211,Prawns Manchurian,31
212,Dal Khichdi,31
213,Chicken Kadai,31
214,Masala Dosa,30
215,Chilly Paneer,30
216,Gobi Masala,30
217,Capsicum Masala,30
218,Roasted Papad,30
219,Paneer Makhani,30
220,Guntur Chicken,30
221,Plain Dosa,30
222,Vanilla Milkshake,29
223,Bhindi Fry,29
224,Pineapple Raita,29
225,Dum Aloo,29
226,Egg Pakoda,29
227,Missi Roti,29
228,Veg Kofta,29
229,Cucumber Salad,29
230,Mutton Do Pyaza,29
231,Prawns Fried Rice,29
232,Veg Kadhai,29
233,Prawns Fry,28
234,Curd,28
235,Egg 65,28
236,Butter Phulka,28
237,Chilli Paneer,28
238,Veg Burger,28
239,Schezwan Fried Rice,28
240,Chicken Ghee Roast,28
241,Paneer Kulcha,28
242,Apple Juice,28
243,Masala Omelette,28
244,Potato Wedges,27
245,Rumali Roti,27
246,Coffee,27
247,Chicken Chinese Chopsuey,27
248,Cream of Tomato Soup,27
249,Cream of Mushroom Soup,27
250,Paneer Kadai,27
251,Butterscotch Ice Cream,27
252,Hunan Chicken,26
253,Chicken Roast,26
254,Onion Dosa,26
255,Boneless Butter Chicken,26
256,Veg Makhanwala,26
257,Chicken Nuggets,26
258,Paneer Lababdar,26
259,Set Dosa,26
260,Methi Roti,26
261,Schezwan Egg Fried Rice,26
262,Mutton Hyderabadi,25
263,Mixed Noodles,25
264,Banana Milkshake,25
265,Fish Chilli,25
266,Strawberry Lassi,25
267,Schezwan Chicken Noodles,25
268,Hot and Sour Soup,25
269,Egg Paratha,25
270,Aloo Mutter,25
271,Mango Milkshake,25
272,Chicken Spring Roll,25
273,Onion Salad,24
274,Fish Masala,24
275,Punjabi Chicken,24
276,Butter Chicken Masala,24
277,Fanta,24
278,Paneer Pasanda,24
279,Chicken Tikka Roll,24
280,Tea,24
281,Mushroom Kadai,24
282,Buttermilk,24
283,Fish Tikka,24
284,Mutton Fried Rice,23
285,Palak Chicken,23
286,2 Boiled Egg,23
287,Chicken Butter Masala,23
288,Boneless Chicken 65,23
289,Garlic Bread,23
290,Methi Chicken,23
291,Chicken Burger,23
292,Chicken Seekh Kabab,23
293,Mutton Kolhapuri,23
294,Gobhi Manchurian,22
295,Paneer Pakoda,22
296,Aloo Jeera Dry,22
297,Mushroom Manchurian Gravy,22
298,Chicken Manchurian Gravy,22
299,Lime Juice,22
300,Chole Bhature,22
301,Vada,22
302,Butter Tandoori Roti,21
303,Paneer Manchurian Gravy,21
304,Chicken Sukka,21
305,Mushroom Do Pyaza,21
306,Kadai Veg,21
307,Cheese Naan,21
308,Kashmiri Pulao,21
309,Fish Finger,21
310,Dry Fruit Lassi,21
311,Aloo 65,21
312,Drums of Heaven,21
313,Fruit Salad,21
314,Mushroom Soup,21
315,Stuffed Paratha,20
316,Chicken Chettinad,20
317,Mix Raita,20
318,Fresh Lime Juice,20
319,Mango Ice Cream,20
320,Rava Dosa,20
321,Peanut Masala,20
322,Veg Thali,20
323,Veg Do Pyaza,20
324,Kerala Paratha,20
325,Schezwan Veg Fried Rice,20
326,Fresh Lime Water,19
327,Margherita Pizza,19
328,Pomegranate Juice,19
329,Chicken 555,19
330,Salt Lassi,19
331,Mutter Paneer,19
332,Veg Ball Manchurian,19
333,Grape Juice,19
334,Schezwan Veg Noodles,19
335,Muskmelon Juice,19
336,Mutton Pepper Masala,19
337,Veg Sandwich,19
338,Chicken Soup,19
339,Fruit Salad with Ice Cream,19
340,Onion Raita,19
341,Veg Jaipuri,19
342,Paneer Malai Tikka,19
343,Kalmi Kebab,19
344,Boneless Chicken Manchurian,18
345,Jeera Aloo,18
346,Mutton Mughlai,18
347,Lemon Tea,18
348,Mutton Pepper Fry,18
349,Hot and Sour Chicken Soup,18
350,Chicken Handi,18
351,Babycorn Manchurian,18
352,Bhindi Do Pyaza,18
353,Crispy Veg,18
354,Sweet Corn Soup,18
355,Chapathi,18
356,Mughlai Chicken,18
357,Double Egg Roll,18
358,Boneless Chilli Chicken,18
359,Wheat Paratha,18
360,Tomato Curry,18
361,Kaju Paneer,18
362,Tangdi Kabab,18
363,Reshmi Kabab,18
364,Manchow Soup,18
365,Chicken Saagwala,18
366,Mutton Ghee Roast,18
367,Lime Soda,18
368,Veg Grilled Sandwich,18
369,Schezwan Egg Noodles,18
370,Palak Rice,18
371,Green Tea,18
372,Prawns 65,18
373,Chilli Mushroom,18
374,Paneer Kofta,18
375,Gobi Fried Rice,17
376,Apple Milkshake,17
377,Chocolate Shake,17
378,Fish Fingers,17
379,Gobi Manchurian Gravy,17
380,Achari Paneer Tikka,17
381,Chicken Biryani Combo,17
382,Mushroom Kadhai,17
383,Plain Roti,17
384,Gobi Manchurian Dry,17
385,Mutton Kadai,17
386,Oreo Milkshake,17
387,Chicken Pakoda,17
388,Veg Pulav,17
389,Veg Shanghai Fried Rice,17
390,Cream of Chicken Soup,17
391,Mutton Roast,17
392,Sev Puri,17
393,Paneer Kolhapuri,17
394,Papaya Juice,17
395,Aloo Raita,17
396,White Rice,17
397,Mix Veg Raita,17
398,Hakka Noodles,17
399,Chicken Chilly,16
400,Masala Puri,16
401,Boneless Chicken Tikka,16
402,Hara Bhara Kabab,16
403,Mixed Veg,16
404,Veg Jalfrezi,16
405,Chicken Shanghai Fried Rice,16
406,Paneer Palak,16
407,Bhel Puri,16
408,Pudina Roti,16
409,Honey Chilli Potato,16
410,Egg Fry,16
411,Stuffed Capsicum,16
412,Sweet Corn Chicken Soup,16
413,Chicken Patiala,16
414,Chicken Tikka Biryani,16
415,Sweet Corn Veg Soup,16
416,Veg Seekh Kabab,16
417,Pav Bhaji,16
418,Paneer Matar,16
419,Paper Masala Dosa,16
420,Veg Chowmein,16
421,Egg Hakka Noodles,16
422,Idli,16
423,Mushroom Matar,16
424,Paneer Masala,16
425,Grilled Chicken,16
426,Chicken Manchurian Dry,16
427,Fish 65,16
428,Gobi Pepper Dry,16
429,Tandoori Aloo,15
430,Navratan Korma,15
431,Baby Corn Fried Rice,15
432,Kadhai Mushroom,15
433,Prawns Chilli,15
434,Chicken Garlic,15
435,Crispy Chicken,15
436,Veg Platter,15
437,Apollo Fish,15
438,Laccha Paratha,15
439,Chicken Pepper Fry,15
440,Rava Masala Dosa,15
441,Oreo Shake,15
442,Butter Masala Dosa,15
443,Prawns Curry,15
444,Golden Fried Baby Corn,15
445,Boneless Chicken Biryani,15
446,Onion Kulcha,15
447,Tawa Roti,15
448,Chilly Mushroom,15
449,Prawns Chilly,15
450,Chicken Korma,15
451,Chilli Fish,15
452,Fruit Lassi,15
453,Boneless Lemon Chicken,15
454,Chocolate Lassi,15
455,Fish and Chips,15
456,Pani Puri,15
457,Fried Papad,15
458,Mango Juice,15
459,Paper Plain Dosa,15
460,Paneer Korma,15
461,Pista Ice Cream,15
462,Chicken Punjabi,15
463,Cheese Omelette,15
464,Butterscotch Milkshake,14
465,Egg Maggi,14
466,Mutton Sukka,14
467,Plain Omelette,14
468,Fish Chilly,14
469,Malai Paneer Tikka,14
470,Prawns Pepper Dry,14
471,Kashmiri Naan,14
472,Paneer Shahi Korma,14
473,Prawns Noodles,14
474,Finger Chips,14
475,Mushroom Pepper,14
476,Veg Tom Yum Soup,14
477,Veg Combo,14
478,Baby Corn Pepper,14
479,Methi Kulcha,14
480,Dahi Puri,14
481,Stuffed Tomato,14
482,Bread Basket,14
483,Garlic Chicken Dry,14
484,Tandoori Butter Roti,14
485,Cheese Garlic Bread,14
486,Mixed Paratha,14
487,Veg Pakoda,14
488,Aloo Gobi Dry,14
489,Non Veg Platter,14
490,2 Aloo Paratha,13
491,Chilli Baby Corn,13
492,Chicken Lababdar,13
493,Tomato Rice,13
494,Tandoori Gobi,13
495,Egg Roast,13
496,Chicken Bharta,13
497,Chicken Schezwan,13
498,Butter Garlic Naan,13
499,Garlic Chicken Gravy,13
500,Paneer Kadhai,13
501,Tawa Chicken,13
502,Hariyali Kabab,13
503,Paneer Pulao,13
504,Schezwan Fish,13
505,Chicken Egg Roll,13
506,Chilli Chicken Gravy,13
507,Mutton Soup,13
508,Papad,13
509,Schezwan Chicken Gravy,13
510,Paneer Hyderabadi,13
511,Veg Schezwan Rice,13
512,Badam Milk,13
513,Tandoori Kabab,13
514,Ginger Tea,13
515,Mango Shake,13
516,Ginger Chicken Gravy,13
517,Chilly Prawns,13
518,Strawberry Shake,13
519,Tawa Paneer,13
520,Dum Aloo Kashmiri,13
521,Prawn Fried Rice,13
522,French Chicken,13
523,Aloo Methi,13
524,Afghani Chicken,13
525,Lemon Rice,13
526,Rasgulla,13
527,Chilly Chicken Gravy,12
528,Banana Shake,12
529,Veg Noodles Soup,12
530,Fried Egg,12
531,Cappuccino,12
532,Butter Plain Dosa,12
533,Hot and Sour Veg Soup,12
534,Channa Masala,12
535,Crispy Chilli Potato,12
536,Mushroom Roll,12
537,Stuffed Naan,12
538,Boneless Chicken Tikka Masala,12
539,Bread Omelette,12
540,Baby Corn Manchurian Gravy,12
541,Paneer Sandwich,12
542,Special Chicken Biryani,12
543,Singapore Fried Rice,12
544,7UP,12
545,Veg Chilli Garlic Noodles,12
546,Chicken Chowmein,12
547,Kadai Mushroom,12
548,Chicken Lung Fung Soup,12
549,Chicken Pepper Masala,12
550,Fish Tikka Masala,12
551,Tandoori Paratha,12
552,Andhra Chicken Curry,12
553,Hyderabadi Chicken Biryani,12
554,Rava Onion Dosa,12
555,Idly,12
556,Chicken Tom Yum Soup,12
557,Russian Salad,12
558,Veg Makhani,12
559,Kung Pao Chicken,12
560,Chicken Wings,12
561,Chicken Majestic,12
562,Cheese Masala Dosa,12
563,Banana Lassi,12
564,Honey Chilly Potato,12
565,Mooli Paratha,12
566,Vegetable Biryani,12
567,Chicken Kadhai,12
568,Paneer Tikka Pizza,12
569,Mix Veg,12
570,Gobhi Paratha,12
571,Rajma Chawal,12
572,Shanghai Chicken,12
573,Khara Bath,12
574,Chicken Fry Piece Biryani,12
575,Paneer Pepper,12
576,Sweet Fresh Lime Soda,12
577,Aloo Kulcha,11
578,BBQ Chicken Wings,11
579,Mix Fried Rice,11
580,Chinese Bhel,11
581,Paneer Chilli Gravy,11
582,Malai Tikka,11
583,Ginger Chicken Dry,11
584,Veg Maggi,11
585,Cheese Paratha,11
586,Veg Meal,11
587,Dal Kolhapuri,11
588,Jaljeera,11
589,Chicken Stroganoff,11
590,Royal Falooda,11
591,Papaya Milkshake,11
592,Chicken Chilli Garlic Noodles,11
593,Palak Khichdi,11
594,Cheese Pav Bhaji,11
595,Chicken Tikka Sandwich,11
596,Chicken Kali Mirch,11
597,Aloo Onion Paratha,11
598,Chicken Malai Tikka,11
599,Chicken Tikka Pizza,11
600,Hyderabadi Chicken,11
601,Chicken Salt and Pepper,11
602,Mushroom Pepper Fry,11
603,Chicken Pepper,11
604,Chow Chow Bath,11
